ID	Symbols	Sites	Feature	Effect	HRD3Avs2A_3A
MEN1-R	MEN1		R		-0.8632274967245291
TP53BP1-P-T321	TP53BP1	T321	P		0.510292618605138
RAD51B-G	RAD51B		G		-0.17779064278348408
RAD51C-G	RAD51C		G		0.3858225802665511
TP53BP1-P-S265	TP53BP1	S265	P		0.9948843082085812
TP53BP1-P-S119	TP53BP1	S119	P		0.7524163627307731
RIF1-P-S2144	RIF1	S2144	P		0.936861684008589
PRIM2-G	PRIM2		G		0.3316906042218524
PRIM1-G	PRIM1		G		0.30001016649451356
UBC-R	UBC		R		0.3450451761445247
RPA4-R	RPA4		R		-0.8290973520459985
CDK7-P-S164	CDK7	S164	P		-0.9982353614735362
RAD54B-G	RAD54B		G		0.9335071832370045
RAD23A-P-S92	RAD23A	S92	P		-0.7343362615700626
ATRIP-P-S224	ATRIP	S224	P		0.7670843050297009
CUL4B-P-S28	CUL4B	S28	P		0.9084715738961758
ZSWIM7-R	ZSWIM7		R		0.2532914279190382
XRCC1-P-S447-T453	XRCC1	S447|T453	P		0.7440795520275432
ERCC5-R	ERCC5		R		-0.4431737833864281
RIF1-P-S1238	RIF1	S1238	P		0.6110485876317541
UBA7-R	UBA7		R		-0.9181787779427792
CDK6-R	CDK6		R		-0.10870955004631769
ALKBH5-P-S64-S69	ALKBH5	S64|S69	P		-0.6110485876317541
TRIP13-G	TRIP13		G		0.32888033701123026
TERF2IP-P-S203	TERF2IP	S203	P		0.9601392282449152
GINS3-R	GINS3		R		-0.8290973520459985
DSCC1-G	DSCC1		G		0.9335071832370045
H2BC12-R	H2BC12		R		0.9215402764275241
RIF1-P-S1542	RIF1	S1542	P		0.4014986239459038
CIB1-G	CIB1		G		0.6102999616070908
SAMHD1-P-S18-T21	SAMHD1	S18|T21	P		0.9718950718776906
TOPBP1-P-S888	TOPBP1	S888	P		0.9753365727335745
XRCC6-P-S324	XRCC6	S324	P		0.7343362615700626
H2BC13-R	H2BC13		R		0.7605354140048292
TDG-R	TDG		R		-0.3484619261416307
RNF169-P-S292	RNF169	S292	P		0.6029394715203046
HELQ-R	HELQ		R		0.6815122148529982
ASCC1-R	ASCC1		R		0.8264143200080915
WRNIP1-G	WRNIP1		G		0.10077628799019656
RNF169-P-S339	RNF169	S339	P		-0.9774888945178857
TICRR-P-T1134	TICRR	T1134	P		0.780802528848882
CLK2-R	CLK2		R		0.9312818849878786
MGMT-P-S201	MGMT	S201	P		0.4014986239459038
UIMC1-P-S677	UIMC1	S677	P		0.9261588168544299
CYREN-R	CYREN		R		0.9174761001899111
USP45-R	USP45		R		0.9312818849878786
HMGN1-P-S99	HMGN1	S99	P		0.8622284028986348
SLFN11-R	SLFN11		R		-0.1563509231296052
XPC-R	XPC		R		0.7946648427267766
TP53BP1-P-S635	TP53BP1	S635	P		0.6448515824380425
TIMELESS-R	TIMELESS		R		0.8434458317958422
PRKDC-P-T2603	PRKDC	T2603	P		-0.47402628497975974
UBXN1-P-S132	UBXN1	S132	P		0.9900403001063334
KDM4B-P-S622	KDM4B	S622	P		-0.6110485876317541
HMCES-P-S281	HMCES	S281	P		0.5327559037636848
LIG1-P-T233	LIG1	T233	P		-0.510292618605138
ERCC6-P-S158	ERCC6	S158	P		-0.6110485876317541
TTK-P-S455	TTK	S455	P		0.8092962874817223
TOP1-R	TOP1		R		0.45928479191904104
TOP2B-P-S1400	TOP2B	S1400	P		0.45466261644102507
H2BC21-R	H2BC21		R		0.4175266851171774
SUMO1-R	SUMO1		R		0.3151142497409658
STN1-R	STN1		R		0.3151142497409658
MCM3-P-T674	MCM3	T674	P		0.525287664794334
DNPH1-P-S128	DNPH1	S128	P		-0.6345434681603419
NBN-P-S509	NBN	S509	P		-0.6142952558267958
SAMHD1-P-S102	SAMHD1	S102	P		-0.8063731155344894
TICRR-P-S1750	TICRR	S1750	P		-0.8937054791515471
NSMCE3-P-S304	NSMCE3	S304	P		-0.9500245757133653
MDC1-P-S544	MDC1	S544	P		0.9900403001063334
CHTF18-G	CHTF18		G		0.7355471830347088
POLB-G	POLB		G		0.0643153378403774
HPF1-G	HPF1		G		0.3587384458318153
POLI-G	POLI		G		-0.9535811193638866
POLL-G	POLL		G		0.12680107918160058
POLK-G	POLK		G		0.6604988933424909
POLE-G	POLE		G		0.5802960829105792
ELOF1-R	ELOF1		R		0.2532914279190382
POLG-G	POLG		G		0.14432879807132915
RAD9A-P-S387	RAD9A	S387	P		-0.9948843082085812
DUT-P-S88	DUT	S88	P		0.7843612289617882
ALKBH5-P-S371	ALKBH5	S371	P		0.9202237545881776
NSMCE3-P-S64	NSMCE3	S64	P		0.5618335223787915
LIG1-P-S229	LIG1	S229	P		-0.6029394715203046
GPS1-P-S468	GPS1	S468	P		0.8860785970473708
XRCC6-P-S6	XRCC6	S6	P		0.7883487295619603
WEE1-P-S67	WEE1	S67	P		0.8622284028986348
POLR2A-P-S1875	POLR2A	S1875	P		-0.9601392282449152
CCNB1IP1-R	CCNB1IP1		R		-0.999613673239675
FANCI-R	FANCI		R		0.1893642009689005
CDC6-R	CDC6		R		-0.9802643440123947
SPO11-R	SPO11		R		0.3945755487515974
SETX-P-S956	SETX	S956	P		0.8622284028986348
USP7-P-S18	USP7	S18	P		0.9601392282449152
BLM-R	BLM		R		0.5128972731122272
MRE11-P-S619	MRE11	S619	P		-0.5618335223787915
USP10-G	USP10		G		0.18220255482961384
RAD54L-R	RAD54L		R		0.6250481104444852
TOP2B-P-S1522	TOP2B	S1522	P		0.6142952558267958
RNF169-P-S693	RNF169	S693	P		0.6029394715203046
ACTB-P-S368	ACTB	S368	P		0.6776209923906246
MSH6-R	MSH6		R		0.31063909255878414
SAMHD1-P-T25	SAMHD1	T25	P		0.8092962874817223
NSMCE1-R	NSMCE1		R		0.1563509231296052
TREX2-R	TREX2		R		0.4871956973316077
SAMHD1-R	SAMHD1		R		-0.8843825929693556
POLQ-G	POLQ		G		-0.5052823108034281
TOP2B-P-S1581	TOP2B	S1581	P		-0.7343362615700626
POLM-G	POLM		G		-0.5739718299966559
PRIM1-R	PRIM1		R		0.10422630813090739
RAD17-R	RAD17		R		0.1563509231296052
HLTF-R	HLTF		R		0.1563509231296052
SLX4IP-R	SLX4IP		R		-0.977121984453409
APBB1-P-S517	APBB1	S517	P		-0.3714731886363623
TICRR-G	TICRR		G		-0.18124680874494623
BAP1-P-S292	BAP1	S292	P		0.3714731886363623
SWI5-R	SWI5		R		0.7070523618059757
DTL-R	DTL		R		0.1735019680411283
TCEA1-R	TCEA1		R		0.5608765091984084
FAAP100-R	FAAP100		R		-0.7796581457544844
